88380000,88384999,5,SC,BALNEARIOPICARRAS
95599000,95599999,5,RS,BALNEARIOPINHAL
88828000,88829999,4,SC,BALNEARIORINCAO
83650000,83699999,6,PR,BALSANOVA
15140000,15144999,6,SP,BALSAMO
38900000,38909999,7,MG,BAMBUI
12850000,12869999,9,SP,BANANAL
39917000,39919999,18,MG,BANDEIRA
37740000,37749999,7,MG,BANDEIRADOSUL
89905000,89905999,7,SC,BANDEIRANTE
86360000,86369999,6,PR,BANDEIRANTES
15367000,15367970,6,SP,BANDEIRANTESDOESTE
95730000,95734999,4,RS,BARAO
18490000,18499999,8,SP,BARAODEANTONINA
35970000,35983999,18,MG,BARAODECOCAIS
99740000,99749999,6,RS,BARAODECOTEGIPE
78190000,78194999,14,MT,BARAODEMELGACO
36870000,36877999,7,MG,BARAODEMONTEALTO
96735000,96739999,6,RS,BARAODOTRIUNFO
36200001,36209999,5,MG,BARBACENA
16350000,16359999,6,SP,BARBOSA
86960000,86969999,6,PR,BARBOSAFERRAZ
20000000,28999999,10,RJ,BARCELOS
17250000,17259999,4,SP,BARIRI
28666970,28666971,9,RJ,BARRAALEGRE
17340000,17349999,4,SP,BARRABONITA
29800000,29819999,10,ES,BARRADESAOFRANCISCO
20000002,28999999,9,RJ,BARRADESAOJOAO
35295000,35295999,6,MG,BARRADOARIRANHA
78390000,78397999,11,MT,BARRADOBUGRES
18325000,18329999,5,SP,BARRADOCHAPEU
78600000,78609999,8,MT,BARRADOGARCAS
98530000,98534999,8,RS,BARRADOGUARITA
86385000,86389999,8,PR,BARRADOJACARE
27000001,27174999,7,RJ,BARRADOPIRAI
97538000,97539999,6,RS,BARRADOQUARAI
29197000,29197999,11,ES,BARRADORIACHO
96790000,96799999,6,RS,BARRADORIBEIRO
99795000,99799999,6,RS,BARRADORIOAZUL
11955000,11959999,8,SP,BARRADOTURVO
99585000,99589999,5,RS,BARRAFUNDA
35447000,35449999,16,MG,BARRALONGA
27300001,27399999,7,RJ,BARRAMANSA
88390000,88394999,6,SC,BARRAVELHA
85700000,85707999,4,PR,BARRACAO
14780001,14789999,6,SP,BARRETOS
14860000,14869999,7,SP,BARRINHA
76390000,76392999,10,GO,BARROALTO
99360000,99369999,8,RS,BARROSCASSAL
36212000,36212999,5,MG,BARROSO
6400001,6499999,6,SP,BARUERI
17690000,17699999,4,SP,BASTOS
79780000,79784999,11,MS,BATAGUASSU
14300000,14339999,5,SP,BATATAIS
12975000,12975000,6,SP,BATATUBA
79760000,79764999,13,MS,BATAYPORA
83648000,83648999,6,PR,BATEIAS
29715000,29715999,8,ES,BAUNILHA
17000001,17119999,6,SP,BAURU
14700001,14719999,5,SP,BEBEDOURO
79260000,79269999,9,MS,BELAVISTA
85745000,85749999,7,PR,BELAVISTADACAROBA
75240000,75244999,5,GO,BELAVISTADEGOIAS
35938000,35939999,18,MG,BELAVISTADEMINAS
86130000,86139999,6,PR,BELAVISTADOPARAISO
89478000,89479999,6,SC,BELAVISTADOTOLDO
26100001,26199999,8,RJ,BELFORDROXO
36126000,36129999,15,MG,BELMIROBRAGA
89925000,89929999,7,SC,BELMONTE
30000001,31999999,5,MG,BELOHORIZONTE
35195000,35197999,7,MG,BELOORIENTE
35473000,35475999,16,MG,BELOVALE
68143000,68144999,15,PA,BELTERRA
89124000,89125999,6,SC,BENEDITONOVO
99650000,99654999,6,RS,BENJAMINCONSTANTDOSUL
16790000,16799999,6,SP,BENTODEABREU
95700001,95714999,4,RS,BENTOGONCALVES
39640000,39641999,18,MG,BERILO
39555000,39557999,16,MG,BERIZAL
18960000,18969999,4,SP,BERNARDINODECAMPOS
11250000,11299999,5,SP,BERTIOGA
39875000,39877999,18,MG,BERTOPOLIS
32600001,32699999,7,MG,BETIM
36230000,36234999,15,MG,BIASFORTES
36600000,36603999,6,MG,BICAS
88160001,88179999,6,SC,BIGUACU
16210000,16219999,6,SP,BILAC
35621000,35621999,17,MG,BIQUINHAS
16200001,16209999,6,SP,BIRIGUI
8940000,8969999,5,SP,BIRITIBAMIRIM
84640000,84659999,8,PR,BITURUNA
89000001,89099999,6,SC,BLUMENAU
37170000,37174999,5,MG,BOAESPERANCA
85680000,85684999,7,PR,BOAESPERANCADOIGUACU
14930000,14934999,6,SP,BOAESPERANCADOSUL
85225000,85229999,8,PR,BOAVENTURADESAOROQUE
85780000,85789999,5,PR,BOAVISTADAAPARECIDA
98335000,98337999,6,RS,BOAVISTADASMISSOES
35517000,35517970,5,MG,BOAVISTADEMINAS
98918000,98918999,4,RS,BOAVISTADOBURICA
98118000,98119999,8,RS,BOAVISTADOCADEADO
98120000,98124999,8,RS,BOAVISTADOINCRA
95727000,95729999,8,RS,BOAVISTADOSUL
69850000,69859999,20,AM,BOCADOACRE
17240000,17249999,5,SP,BOCAINA
37340000,37349999,19,MG,BOCAINADEMINAS
88538000,88539999,7,SC,BOCAINADOSUL
39390000,39396999,16,MG,BOCAIUVA
83450000,83479999,5,PR,BOCAIUVADOSUL
79390000,79399999,11,MS,BODOQUENA
18590000,18599999,8,SP,BOFETE
18550000,18559999,6,SP,BOITUVA
35600000,35602999,5,MG,BOMDESPACHO
28660000,28679999,11,RJ,BOMJARDIM
88640000,88649999,9,SC,BOMJARDIMDASERRA
